text,emotion,processed_text
giảng viên đánh giá sai điểm và năng lực của học sinh .,negative,giảng viên đánh giá sai điểm năng lực học sinh
không đáp ứng được đề cương môn học đề ra .,negative,đáp ứng đề cương môn học đề ra
thầy nên hướng dẫn thực hành nhiều hơn .,negative,thầy hướng dẫn thực hành nhiều hơn
"giảng viên thân thiện , quan tâm tới sinh viên .",positive,giảng viên thân thiện quan tâm tới sinh viên
"môn lập trình hướng đối tượng nên cập nhật thêm những nội dung mới , dễ hiểu và giảng giải cụ thể hơn .",negative,môn lập trình hướng đối tượng cập nhật thêm những nội dung mới dễ hiểu giảng giải cụ thể hơn
"giáo viên nhiệt tình , tâm huyết , khả năng truyền đạt tốt .",positive,giáo viên nhiệt tình tâm huyết khả năng truyền đạt tốt
thầy dạy rất tốt và nhiệt tình .,positive,thầy dạy tốt nhiệt tình
"cô nói hơi nhỏ , nếu lớp ồn sẽ khó nghe .",negative,cô nói hơi nhỏ nếu lớp ồn khó nghe
"bài tập cô đưa ra nhiều , và khó tìm hiểu , với kiến thực hiện tại của sinh viên thì khó có thể tìm hiểu và làm tốt bài tập cô ra .",negative,bài tập cô đưa ra nhiều khó tìm hiểu kiến thực hiện tại sinh viên thì khó có thể tìm hiểu làm tốt bài tập cô ra
bài tập và hoạt động nhóm còn ít .,negative,bài tập hoạt động nhóm ít
"giảng viên rất nhiệt tình , phương pháp giảng dạy hay , sinh viên nắm bắt kiến thức ngay trên lớp .",positive,giảng viên nhiệt tình phương pháp giảng dạy hay sinh viên nắm bắt kiến thức ngay lớp
cô hướng dẫn thực hành khá đầy đủ .,positive,cô hướng dẫn thực hành khá đầy đủ
được học nhiều kinh nghiệm từ thầy wzjwz163 .,positive,học nhiều kinh nghiệm thầy wzjwz
"kiến thức của thầy rất tốt , bảo đảm giờ lên lớp .",positive,kiến thức thầy tốt bảo đảm giờ lên lớp
hiện tại em chưa thấy tác dụng gì nhiều khi học môn này .,negative,hiện tại chưa thấy tác dụng gì nhiều khi học môn
cải thiện lại cơ sở vật chất máy chiếu trong phòng học .,negative,cải thiện lại cơ sở vật chất máy chiếu phòng học
dạy không phù hợp với cách học của em .,negative,dạy phù hợp cách học
giải thích nội dung mới rõ ràng .,positive,giải thích nội dung mới rõ ràng
lớp học quá đông !,negative,lớp học đông
"môn căn bản mà thầy không dạy cho sinh viên kỹ , gây không hiểu , mất căn bản .",negative,môn căn bản mà thầy dạy sinh viên kỹ gây hiểu mất căn bản
"giảng viên chưa cho bài tập về nhà để sinh viên làm nên cho 5 bài mỗi chương , không cần chữa chỉ cần đáp án .",negative,giảng viên chưa bài tập về nhà để sinh viên làm nên bài mỗi chương chữa chỉ đáp án
"mà hiện tại trường ta chưa có , đây là thiệt thòi lớn đối với tụi em .",negative,mà hiện tại trường ta chưa thiệt thòi lớn đối với tụi
tôi cảm thấy giảng viên dạy rất tốt .,positive,cảm thấy giảng viên dạy tốt
"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",negative,biết thầy nào dạy chính thức mà học thường nghỉ thông báo để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần
cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,negative,sự tương tác giảng viên sinh viên nhiều hơn
giảng viên thân thiện nhiệt tình cởi mở .,positive,giảng viên thân thiện nhiệt tình cởi mở
"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .",positive,giáo viên mời các công ty về trình bày giúp sinh viên cập nhật kiến thức thực tiễn
coi lại thái độ giảng viên thực hành .,negative,coi lại thái độ giảng viên thực hành
"giảng viên nhiệt tình , giải nhiều bài tập .",positive,giảng viên nhiệt tình giải nhiều bài tập
bài giảng của thầy rất nhiệt tình .,positive,bài giảng thầy nhiệt tình
"môn học chưa thực tiễn , chưa thu hút sinh viên .",negative,môn học chưa thực tiễn chưa thu hút sinh viên
dạy hơi nhanh !,negative,dạy hơi nhanh
ít làm bài tập .,negative,ít làm bài tập
"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",negative,giảng bài kém thu hút vị trí đứng giảng hợp lý ôn tập cuối kỳ chưa tập trung vào vấn đề
"giảng viên nhiệt tình , bài giảng thu hút .",positive,giảng viên nhiệt tình bài giảng thu hút
"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !",positive,nhờ thầy giảng viên lý thuyết hiểu rõ về môn nhiều
môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,negative,môn khá trừu tượng mong thầy nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu
cần thêm nhiều tài liệu cho sinh viên .,negative,thêm nhiều tài liệu sinh viên
bài tập trên lớp .,neutral,bài tập lớp
tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,negative,tăng số tiết dạy lên để sinh viên nhiều cơ hội hỏi đáp thắc mắc về môn học
thầy nhiệt tình dễ hiểu .,positive,thầy nhiệt tình dễ hiểu
thực hành và lý thuyết nên dạy song song .,negative,thực hành lý thuyết dạy song song
giảng viên dạy nhanh .,negative,giảng viên dạy nhanh
bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,negative,bài tập lớp giới thiệu ngay đầu tiết học để học sinh tốn thời gian đọc đề như có thể suy nghĩ cách giải cùng lúc việc nghe giảng
giảng viên cho bài tập hay .,positive,giảng viên bài tập hay
cập nhật bài tập mới .,negative,cập nhật bài tập mới
"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .",negative,lên lớp ai làm việc người thầy giảng gì thêm
"tận tâm , nhiệt tình , quan tâm đến sinh viên .",positive,tận tâm nhiệt tình quan tâm đến sinh viên
phản hồi giải đáp thắc mắc cho sinh viên .,positive,phản hồi giải đáp thắc mắc sinh viên
dạy quá nhanh .,negative,dạy nhanh
mong ban thiết bị sớm khắc phục ạ !,negative,mong ban thiết bị sớm khắc phục
môn này cần làm đề tài để áp dụng lý thuyết vào thực tiễn mà trên lớp chỉ học một đống lý thuyết và hiếm ai nhớ đa số khá buồn ngủ khi lên lớp .,negative,môn làm đề tài để áp dụng lý thuyết vào thực tiễn mà lớp chỉ học một đống lý thuyết hiếm ai nhớ đa số khá buồn ngủ khi lên lớp
"giảng viên nên đổi mới phương pháp giảng dạy , tránh thô cứng , không hấp dẫn sinh viên .",negative,giảng viên đổi mới phương pháp giảng dạy tránh thô cứng hấp dẫn sinh viên
"nhiệt tình , tạo cách chủ động cho học sinh tiếp cận với môn học và tham gia các chương trình phong trào liên quan để nâng cao kỹ năng .",positive,nhiệt tình tạo cách chủ động học sinh tiếp cận môn học tham gia các chương trình phong trào liên quan để nâng cao kỹ năng
"cô dạy rất tận tình , dễ hiểu .",positive,cô dạy tận tình dễ hiểu
không đáp ứng được nhu cầu của sinh viên .,negative,đáp ứng nhu cầu sinh viên
thầy rất nhiệt tình với chúng em và điều này làm em rất hài lòng .,positive,thầy nhiệt tình chúng em điều làm hài lòng
cách giảng dạy của thầy rất hay và có phần dễ hiễu .,positive,cách giảng dạy thầy hay phần dễ hiễu
"nhiệt tình , dễ thương .",positive,nhiệt tình dễ thương
không hướng dẫn đồ án .,negative,hướng dẫn đồ án
em xin đề nghị nhà trường nên bổ sung tài liệu về môn học và cập nhật nội dung .,negative,xin đề nghị nhà trường bổ sung tài liệu về môn học cập nhật nội dung
"chép bài rất nhiều , lãng phí thời gian nghe giảng .",negative,chép bài nhiều lãng phí thời gian nghe giảng
"em không học thầy wzjwz178 kỳ này , giáo viên thực hành có 2 người nên có lẽ daa nhầm .",negative,học thầy wzjwz kỳ giáo viên thực hành người có lẽ daa nhầm
đề thi môn dài sinh viên làm không đủ thời gian .,negative,đề thi môn dài sinh viên làm đủ thời gian
cho làm nhiều bài test .,negative,làm nhiều bài test
theo em thì nên thi phòng máy nào có visual 2013 trở lên .,negative,theo thì thi phòng máy nào visual trở lên
cần thêm nhiều tài liệu cho môn học .,negative,thêm nhiều tài liệu môn học
thầy giảng dạy tốt .,positive,thầy giảng dạy tốt
mong thầy có thể hướng dẫn cách cụ thể nhất cho những bài khó .,negative,mong thầy có thể hướng dẫn cách cụ thể nhất những bài khó
thầy cần cho bài tập và hướng dẫn nhiều hơn .,negative,thầy bài tập hướng dẫn nhiều hơn
"giáo viên lên lớp đúng giờ , giảng bài sôi động .",positive,giáo viên lên lớp đúng giờ giảng bài sôi động
em thấy thầy chỉ giảng cho có .,negative,thấy thầy chỉ giảng
cần xác định rõ mục đích môn học và cho sinh viên đề cương chi tiết môn học trước khi bắt đầu .,negative,xác định rõ mục đích môn học sinh viên đề cương chi tiết môn học khi bắt đầu
"thầy nói chuyện với sinh viên rất tự nhiên , chia sẻ kinh nghiệm thực tế .",positive,thầy nói chuyện sinh viên tự nhiên chia sẻ kinh nghiệm thực tế
dạy theo sát chương trình .,positive,dạy theo sát chương trình
cung cấp thêm trang thiết bị phục vụ nhu cầu môn học .,negative,cung cấp thêm trang thiết bị phục vụ nhu cầu môn học
đề nghị nâng cấp phòng lab khoa mạng .,negative,đề nghị nâng cấp phòng lab khoa mạng
"thầy giảng hay và tâm huyết , bài giảng có tính thực tiễn cao .",positive,thầy giảng hay tâm huyết bài giảng tính thực tiễn cao
đi dạy đúng giờ .,positive,đi dạy đúng giờ
"thầy cung cấp nhiều kiến thức mới , thầy dạy tận tâm và nhiệt tình !",positive,thầy cung cấp nhiều kiến thức mới thầy dạy tận tâm nhiệt tình
có tăng thêm nhiều ví dụ để minh họa cho lý thuyết vì có nhiều phần lý thuyết rất trừu tượng .,positive,tăng thêm nhiều ví dụ để minh họa lý thuyết vì nhiều phần lý thuyết trừu tượng
các yêu cầu về đồ án môn học nên đươc đưa ra chính xác trước khi sinh viên bắt đầu thực hiện chia nhóm và làm đồ án .,negative,các yêu cầu về đồ án môn học đươc đưa ra chính xác khi sinh viên bắt đầu thực hiện chia nhóm làm đồ án
"dạy dễ hiểu dễ tiếp thu , tập trung vài kiến thức trọng tâm .",positive,dạy dễ hiểu dễ tiếp thu tập trung vài kiến thức trọng tâm
"dạy chưa được kỹ lắm , điểm nên thoáng hơn .",negative,dạy chưa kỹ điểm thoáng hơn
chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc của sinh viên trên lớp .,negative,chưa chuẩn bị kỹ bài giảng để có thể trả lời các thắc mắc sinh viên lớp
cô khá tận tâm cho học sinh .,positive,cô khá tận tâm học sinh
"cần cải cách lại nội dung các bài thực hành , một số kiến nội dung trong bài thực hành đã trở nên lỗi thời .",negative,cải cách lại nội dung các bài thực hành một số kiến nội dung bài thực hành trở nên lỗi thời
giảng viên có khả năng truyền đạt kiến thức tốt .,positive,giảng viên khả năng truyền đạt kiến thức tốt
cho làm nhiều bài tập .,negative,làm nhiều bài tập
nghiên cứu khoa học .,neutral,nghiên cứu khoa học
"giáo viên dạy rất tận tâm , nhiệt tình .",positive,giáo viên dạy tận tâm nhiệt tình
thầy cô hướng dẫn đồ án hệ thống thông tin cần có thêm một vài buổi gặp mặt với sinh viên và đưa ra lịch cố định trên trường để sinh viên thắc mắc có thể lên hỏi trực tiếp !,negative,thầy cô hướng dẫn đồ án hệ thống thông tin thêm một vài buổi gặp mặt sinh viên đưa ra lịch cố định trường để sinh viên thắc mắc có thể lên hỏi trực tiếp
chỉ thông báo trên lớp sẽ khó tránh sai sót .,negative,chỉ thông báo lớp khó tránh sai sót
cô viết ở góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát được ạ .,negative,cô viết góc bảng gần chổ bụt giảng khiến nhiều khi khó quan sát
đề nghị lắp thêm quạt .,negative,đề nghị lắp thêm quạt
dạy kỹ .,positive,dạy kỹ
bài tập cần đa dạng hơn .,negative,bài tập đa dạng hơn
nói rất nhỏ .,negative,nói nhỏ
có lúc làm bài sai giáo viên nói làm hơi tự ái .,negative,lúc làm bài sai giáo viên nói làm hơi tự ái
không sửa các bài tập thực hành .,negative,sửa các bài tập thực hành
em chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành .,negative,chưa hiểu rõ cách thức chấm điểm bài kiểm tra thực hành
làm bài tập nhiều mặc dù không hiểu lắm .,negative,làm bài tập nhiều mặc dù hiểu
thi thoảng nghỉ học không thông báo trên daa .,negative,thi thoảng nghỉ học thông báo daa
"thầy dạy dễ hiểu , tiết học dễ hiểu , sôi nổi .",positive,thầy dạy dễ hiểu tiết học dễ hiểu sôi nổi
"thầy giảng dạy nhiệt tình , truyền cảm .",positive,thầy giảng dạy nhiệt tình truyền cảm
"giảng dạy rất chi tiết , dễ hiểu và dễ tiếp thu .",positive,giảng dạy chi tiết dễ hiểu dễ tiếp thu
truyền đạt những kiến thức tốt .,positive,truyền đạt những kiến thức tốt
cô vui tính .,positive,cô vui tính
nếu có thì chỉ hướng dẫn bằng lý thuyết mà không làm bài tập mẫu cho sinh viên .,negative,nếu thì chỉ hướng dẫn bằng lý thuyết mà làm bài tập mẫu sinh viên
cô chưa có nhiều kênh bài tập cho sinh viên .,negative,cô chưa nhiều kênh bài tập sinh viên
bạn nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến 30% còn thực sự hiểu môn học thì rất ít người hiểu .,negative,nào khá thì có thể áp dụng công thức vào bài tập cả lớp chưa đến thực sự hiểu môn học thì ít người hiểu
thầy dạy hơi nhanh .,negative,thầy dạy hơi nhanh
ít hướng dẫn sinh viên trong giờ thực hành .,negative,ít hướng dẫn sinh viên giờ thực hành
không thực hành được buổi nào .,negative,thực hành buổi nào
"thầy dạy phần lý thuyết hay , nắm bắt được khả năng của sinh viên .",positive,thầy dạy phần lý thuyết hay nắm bắt khả năng sinh viên
"ví dụ đề tài của em là doubledot các nguyên lý cơ bản , bao gồm 7 nguyên tắc của bohm ( 1983 ) .",neutral,ví dụ đề tài doubledot các nguyên lý cơ bản bao gồm nguyên tắc bohm
"giáo viên nhiệt tình , dạy dễ hiểu , tận tình với sinh viên .",positive,giáo viên nhiệt tình dạy dễ hiểu tận tình sinh viên
"tân tâm , nhiệt tình trong lớp lẫn bên ngoài .",positive,tân tâm nhiệt tình lớp lẫn bên
thầy giảng dạy tận tâm nhiệt tình .,positive,thầy giảng dạy tận tâm nhiệt tình
"thầy vui tính , giảng bài dễ hiểu , nhiệt tình .",positive,thầy vui tính giảng bài dễ hiểu nhiệt tình
thầy giáo dạy nhiệt tình .,positive,thầy giáo dạy nhiệt tình
"dạy dễ hiểu , gần gũi sinh viên .",positive,dạy dễ hiểu gần gũi sinh viên
"cô dạy rất nhiệt tình và tài liệu của cô rất cụ thể dễ hiểu , cô hướng dẫn rất tận tình .",positive,cô dạy nhiệt tình tài liệu cô cụ thể dễ hiểu cô hướng dẫn tận tình
mong thầy cố gắng trong các học kỳ sau .,negative,mong thầy cố gắng các học kỳ
cần đưa ra nhiều ví dụ minh họa hơn .,negative,đưa ra nhiều ví dụ minh họa hơn
"giảng viên hoà đồng , vui vẻ , chỉ giảng tận tình sinh viên ham học hỏi .",positive,giảng viên hòa đồng vui vẻ chỉ giảng tận tình sinh viên ham học hỏi
giảng viên không dạy một tiết thực hành nào .,negative,giảng viên dạy một tiết thực hành nào
không !,neutral,
nên có sự thống nhất giữa các giảng viên bộ môn trong đề cương giảng dạy .,negative,sự thống nhất các giảng viên bộ môn đề cương giảng dạy
"có những phần kiến thức chỉ một nửa lớp được học nhưng giảng viên nghĩ là cả lớp đã học rồi nên chỉ overview , những sinh viên còn lại khó nắm được .",negative,những phần kiến thức chỉ một nửa lớp học nhưng giảng viên nghĩ cả lớp học rồi chỉ overview những sinh viên lại khó nắm
máy tính cập nhật nhanh hơn .,negative,máy tính cập nhật nhanh hơn
"vui , hòa đồng , nhiệt tình .",positive,vui hòa đồng nhiệt tình
có giúp đỡ sinh viên học tập nghiên cứu .,positive,giúp đỡ sinh viên học tập nghiên cứu
"giảng viên tận tâm , nhiệt tình , ham học hỏi .",positive,giảng viên tận tâm nhiệt tình ham học hỏi
"tuy nhiên cô nên cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên không bị khớp vì quá nhiều dẫn đến làm qua loa cho có , như vậy thì kết quả lại không tốt .",negative,tuy nhiên cô cân nhắc lại về số lượng yêu cầu đối với sinh viên để sinh viên khớp vì nhiều dẫn đến làm qua loa như vậy thì kết quả lại tốt
"cô rất tận tâm , rất ok , em rất thích cách dạy và học của cô ( mặc dù hơi nhanh tí ) .",positive,cô tận tâm ok thích cách dạy học cô mặc dù hơi nhanh tí
mong thầy và nhà trường xem xét lại những điều em vừa nói .,negative,mong thầy nhà trường xem xét lại những điều vừa nói
"thầy tận tâm , nhiệt tình , tạo động lực cho sinh viên .",positive,thầy tận tâm nhiệt tình tạo động lực sinh viên
